,Nom,Code postal,Commune,Code insee,Longitude,Latitude,GeoPoint,Type
416,Domaine Terres Clôt du Jay,4250,Clamensane,4057,6.079784,44.325706,"44.325706,6.079784",Hébergement
417,Résidence sous Le Soleil,83380,Roquebrune sur Argens - Les Issambres,83999,6.69881,43.343636,"43.343636,6.69881",Hébergement
418,Auberge de jeunesse FJT,5000,Gap,5061,6.081148,44.557111,"44.557111,6.081148",Hébergement
419,Auberge Gaillard,5500,La Motte-en-Champsaur,5090,6.12263,44.747438,"44.747438,6.12263",Hébergement
420,Auberge L'Arpelin,5100,Cervières,5027,6.727218,44.855147,"44.855147,6.727218",Hébergement
421,Gîte de Roncharel,4240,Annot,4008,6.635576,43.972885,"43.972885,6.635576",Hébergement
422,Auberge des Gondoins,5260,Champoléon,5032,6.2496,44.729186,"44.729186,6.2496",Hébergement
423,Pierre Et Vacances Les Terrasses,83380,Roquebrune sur Argens - Les Issambres,83999,6.680103,43.371078,"43.371078,6.680103",Hébergement
424,Auberge de jeunesse Entre Guil et Mets,5600,Guillestre,5065,6.64022,44.659329,"44.659329,6.64022",Hébergement
425,Refuge du lac de Rabuons,6660,Saint-Étienne-de-Tinée,6120,6.978122,44.26846,"44.26846,6.978122",Hébergement
426,Belambra Club Le Roc Blanc,5170,Orcières,5096,6.324391,44.698006,"44.698006,6.324391",Hébergement
427,Gîte Collectif Le Dahut,5320,La Grave,5063,6.315609,45.058251,"45.058251,6.315609",Hébergement
428,Appart'City Cannes Mandelieu,6210,Mandelieu-la-Napoule,6079,6.929785,43.522629,"43.522629,6.929785",Hébergement
429,Village Vacances Azur et Neige***,4140,Montclar,4126,6.333492,44.404918,"44.404918,6.333492",Hébergement
430,Les Locations des Domaines de Saint Endréol,83920,La Motte,83085,6.585317,43.495032,"43.495032,6.585317",Hébergement
431,Maison de Santé Les Acacias,5107,Briançon,5023,6.631039,44.909418,"44.909418,6.631039",Hébergement
432,La Maison Rose -  Chez Villa Castellane,4800,Gréoux-les-Bains,4094,5.890216,43.758192,"43.758192,5.890216",Hébergement
433,GITE LA ROUGUIERE,6450,Saint-Martin-Vésubie,6127,7.256143,44.069144,"44.069144,7.256143",Hébergement
434,Centre Médical Montjoy,5100,Briançon,5023,6.629279,44.911059,"44.911059,6.629279",Hébergement
435,Villa Lormarin,83350,Ramatuelle,83101,6.639667,43.210971,"43.210971,6.639667",Hébergement
436,Résidence Les Sellettes,83350,Ramatuelle,83101,6.645903,43.220776,"43.220776,6.645903",Hébergement
437,Résidence L'Anoli,83350,Ramatuelle,83101,6.655954,43.228507,"43.228507,6.655954",Hébergement
438,Les Maisons du Sud,83350,Ramatuelle,83101,6.636399,43.254211,"43.254211,6.636399",Hébergement
439,Ugecam PACA-Corse Rhône-Azur,5100,Briançon,5023,6.626823,44.913157,"44.913157,6.626823",Hébergement
440,Village Vacances Léo Lagrange Touristra,83350,Ramatuelle,83101,6.657581,43.210677,"43.210677,6.657581",Hébergement
441,Yelloh Village Les Tournels,83350,Ramatuelle,83101,6.650557,43.204644,"43.204644,6.650557",Hébergement
442,Village Vacances Léo Lagrange / Touristra,83350,Ramatuelle,83101,6.657581,43.210677,"43.210677,6.657581",Hébergement
443,Quen' Chan't Le Guil,5470,Aiguilles,5003,6.869483,44.78182,"44.78182,6.869483",Hébergement
444,Gîte d'étape et de séjour des Robines,4330,Tartonne,4214,6.389007,44.066727,"44.066727,6.389007",Hébergement
445,L’Ecrin des neiges,5560,Vars,5177,6.686168,44.567786,"44.567786,6.686168",Hébergement
446,Pic de Chabrières,5560,Vars,5177,6.685352,44.569039,"44.569039,6.685352",Hébergement
447,Fondation Edith Seltzer Centre Médical Chant'Ours,5107,Briançon,5023,6.619574,44.918805,"44.918805,6.619574",Hébergement
448,Jamivoï,5800,La Chapelle-en-Valgaudemar,5064,6.197951,44.819266,"44.819266,6.197951",Hébergement
449,Les Jalabres - Actions vacances,5170,Orcières,5096,6.326274,44.684075,"44.684075,6.326274",Hébergement
450,LE CARRE DU MERCANTOUR,6470,Châteauneuf-d'Entraunes,6040,6.792236,44.159782,"44.159782,6.792236",Hébergement
451,SSR Pédiatrique la Guisane,5100,Villar-Saint-Pancrace,5183,6.639176,44.879061,"44.879061,6.639176",Hébergement
452,Les Villages Clubs Du Soleil,5560,Vars,5177,6.685138,44.566563,"44.566563,6.685138",Hébergement
453,Le champ d'Eysson Aparthôtel,83440,Montauroux,83081,6.770309,43.605776,"43.605776,6.770309",Hébergement
454,Maison Médicale Les Jeunes Pousses,5100,Briançon,5023,6.638844,44.898157,"44.898157,6.638844",Hébergement
455,Gîte de l'Yvraie,5250,Le Dévoluy,5139,5.848384,44.639295,"44.639295,5.848384",Hébergement
456,Résidence Suite Home Apt-Luberon,84400,Apt,84003,5.386113,43.879516,"43.879516,5.386113",Hébergement
457,Eden Azur,6220,Vallauris Golfe - Juan,6155,7.083628,43.5737,"43.5737,7.083628",Hébergement
